product_id,category,name,price,stock,order_date,expiration_date
P001,도시락,백종원 제육도시락,3000,21,2026-06-01,2026-06-08
P002,도시락,11찬 정찬도시락,4500,21,2026-06-01,2026-06-08
P003,도시락,돈까스 도시락,1500,26,2026-06-01,2026-06-08
P004,도시락,비빔밥 도시락,2500,25,2026-06-01,2026-06-08
P005,도시락,치킨마요 도시락,4500,30,2026-06-01,2026-06-08
P006,도시락,소불고기 도시락,1700,22,2026-06-01,2026-06-08
P007,도시락,스팸마요 도시락,2000,21,2026-06-01,2026-06-08
P008,도시락,함박스테이크 도시락,1200,21,2026-06-01,2026-06-08
P009,도시락,오징어볶음 도시락,1500,22,2026-06-01,2026-06-08
P010,도시락,김치제육 도시락,1200,21,2026-06-01,2026-06-08
P011,김밥/주먹밥,참치마요 삼각김밥,2500,24,2026-06-01,2026-06-08
P012,김밥/주먹밥,전주비빔 삼각김밥,4500,25,2026-06-01,2026-06-08
P013,김밥/주먹밥,소고기추고추장 삼각,1200,21,2026-06-01,2026-06-08
P014,김밥/주먹밥,스팸김치 볶음밥,1000,25,2026-06-01,2026-06-08
P015,김밥/주먹밥,명란마요 주먹밥,1200,22,2026-06-01,2026-06-08
P016,김밥/주먹밥,원조 김밥,3000,21,2026-06-01,2026-06-08
P017,김밥/주먹밥,참치 김밥,3000,30,2026-06-01,2026-06-08
P018,김밥/주먹밥,치즈 김밥,2500,23,2026-06-01,2026-06-08
P019,김밥/주먹밥,돈까스 김밥,2500,26,2026-06-01,2026-06-08
P020,김밥/주먹밥,땡초 김밥,2000,20,2026-06-01,2026-06-08
P021,샌드위치/햄버거,에그마요 샌드위치,1000,20,2026-06-01,2026-06-08
P022,샌드위치/햄버거,햄치즈 샌드위치,2000,22,2026-06-01,2026-06-08
P023,샌드위치/햄버거,인기가요 샌드위치,1000,20,2026-06-01,2026-06-08
P024,샌드위치/햄버거,튜나 샌드위치,2500,29,2026-06-01,2026-06-08
P025,샌드위치/햄버거,BLT 샌드위치,1500,21,2026-06-01,2026-06-08
P026,샌드위치/햄버거,불고기 버거,5000,22,2026-06-01,2026-06-08
P027,샌드위치/햄버거,치킨 버거,1500,21,2026-06-01,2026-06-08
P028,샌드위치/햄버거,새우 버거,2500,22,2026-06-01,2026-06-08
P029,샌드위치/햄버거,치즈 버거,4500,21,2026-06-01,2026-06-08
P030,샌드위치/햄버거,더블패티 버거,4500,24,2026-06-01,2026-06-08
P031,음료,코카콜라 500ml,5000,27,2026-06-01,2026-06-08
P032,음료,칠성사이다 500ml,4500,25,2026-06-01,2026-06-08
P033,음료,펩시제로 500ml,5000,27,2026-06-01,2026-06-08
P034,음료,몬스터 에너지,1700,21,2026-06-01,2026-06-08
P035,음료,핫식스,1700,24,2026-06-01,2026-06-08
P036,음료,포카리스웨트,5000,24,2026-06-01,2026-06-08
P037,음료,게토레이,1500,24,2026-06-01,2026-06-08
P038,음료,레쓰비,4500,27,2026-06-01,2026-06-08
P039,음료,칸타타 아메리카노,1200,24,2026-06-01,2026-06-08
